,lat,lon,elevation,distance
78,33.686513,-111.723156,576.4,664.1653042428269
79,33.686404,-111.723256,575.6,679.4134767885467
80,33.686368,-111.723288,575.4,684.3924574560311
81,33.686289,-111.723353,575.2,695.0383233728472
82,33.686214,-111.723396,575.4,704.2783419194313
83,33.686175,-111.723411,575.4,708.8316123811467
84,33.686117,-111.723435,575.8,715.6524997808194
85,33.686059,-111.723476,577.0,723.1347516060363
86,33.685915,-111.723598,577.8,742.7256768309276
87,33.685877,-111.723633,577.6,748.0493011682846
88,33.685722,-111.723728,577.6,767.3964862741333
89,33.685637,-111.723766,577.4,777.4808272923074
90,33.685545,-111.723798,577.4,788.1306067601992
91,33.685464,-111.723852,577.4,798.4303938984046
92,33.685403,-111.723916,577.2,807.434437058318
93,33.685325,-111.723975,577.4,817.682597916817
94,33.685245,-111.724023,577.6,827.6252251582654
95,33.685202,-111.724042,577.6,832.719544450319
96,33.685153,-111.724056,577.6,838.3199592813946
97,33.685066,-111.724087,577.2,848.4101775369901
98,33.685031,-111.724108,577.2,852.7600791160535
99,33.684993,-111.724135,577.4,857.6687424767316
100,33.684952,-111.724167,577.4,863.1048069814287
101,33.684833,-111.724264,577.4,879.0935844225137
102,33.684752,-111.724331,577.2,890.0275877875204
103,33.68467,-111.724381,577.4,900.2520726181325
104,33.684634,-111.724401,577.4,904.662122973946
105,33.684438,-111.724501,577.4,928.3390673129998
106,33.684396,-111.724521,577.4,933.3625184159558
107,33.684268,-111.724583,577.6,948.7080588257201
108,33.684133,-111.724645,577.6,964.7781680874851
109,33.684059,-111.724689,577.2,973.9586511956876
110,33.683961,-111.72475,577.0,986.2306841899779
111,33.683886,-111.724803,577.2,995.9052639712172
112,33.683692,-111.724924,577.6,1020.2093262507317
113,33.683656,-111.724941,577.8,1024.510294805326
114,33.683448,-111.725015,577.8,1048.6310505767412
115,33.683408,-111.72503,578.0,1053.290361311886
116,33.683319,-111.725053,578.2,1063.4129408029276
117,33.683222,-111.725063,578.2,1074.2384632405956
118,33.683171,-111.725054,578.0,1079.9702202650758
119,33.683118,-111.725035,577.6,1086.1201778378258
120,33.683063,-111.725015,576.8,1092.5097446666405
121,33.683007,-111.725004,576.0,1098.8192930315963
122,33.68295,-111.725005,575.4,1105.158079200031
123,33.682897,-111.72502,575.2,1111.2126355245455
124,33.682802,-111.72508,574.6,1123.1461510295521
125,33.682723,-111.725165,574.2,1134.936892108273
126,33.682657,-111.725254,573.6,1145.9674707878469
127,33.682626,-111.725299,573.0,1151.3729235021221
128,33.68251,-111.725481,572.2,1172.5852415781098
129,33.682453,-111.72557,572.0,1182.9769062552803
130,33.682422,-111.725616,571.8,1188.453957610696
131,33.682388,-111.725657,571.6,1193.8097881926085
132,33.682278,-111.725764,570.8,1209.5459987784545
133,33.682202,-111.725831,570.8,1220.0268730213684
134,33.682044,-111.725949,570.6,1240.7119664732363
135,33.681969,-111.726019,570.4,1251.2713560076413
136,33.681834,-111.726179,569.8,1272.3548854247172
137,33.681724,-111.726289,569.2,1288.2672444243824
138,33.681646,-111.726347,568.6,1298.466540786686
